t,centros_activos,equipos_totales,pacientes_atendidos,espera_leve,espera_moderado,graves_hospital,graves_pma
1,4,28,336,2688,606,403,0
2,8,48,576,4839,788,321,0
3,14,82,1098,6254,456,244,0
4,21,117,2164,6068,225,196,0
5,26,139,3056,4554,137,165,0
6,24,156,3552,2517,69,161,0
7,22,168,3710,22,15,124,0
