t,centros_activos,equipos_totales,pacientes_atendidos,espera_leve,espera_moderado,graves_hospital,graves_pma
1,3,28,336,2688,606,403,0
2,9,48,596,4806,801,321,0
3,12,82,1035,6327,427,244,0
4,16,117,2174,6198,128,196,0
5,23,139,3241,4455,84,165,0
6,20,156,3731,2208,47,161,0
7,19,168,3384,21,12,124,0
