i,j,t,g,a_ijtg
1,20,2,moderado,11.0
1,20,3,moderado,11.0
1,20,4,moderado,10.0
1,20,5,leve,31.0
1,82,5,leve,31.0
1,82,5,moderado,4.0
1,82,6,leve,30.0
1,82,6,moderado,4.0
1,82,7,leve,31.0
1,82,7,moderado,3.0
2,3,4,leve,37.0
2,3,4,moderado,13.0
2,3,5,leve,37.0
2,3,5,moderado,13.0
2,3,6,leve,37.0
2,3,6,moderado,13.0
2,3,7,leve,36.0
2,3,7,moderado,13.0
3,21,3,moderado,4.0
3,21,5,leve,30.0
3,21,6,moderado,4.0
3,21,7,leve,30.0
3,21,7,moderado,3.0
3,33,4,leve,1.0
3,33,4,moderado,10.0
3,33,5,leve,30.0
3,33,5,moderado,4.0
3,33,6,leve,30.0
3,75,3,moderado,11.0
3,75,4,moderado,6.0
4,59,2,moderado,9.0
4,59,3,moderado,3.0
4,59,4,leve,24.0
4,59,5,leve,17.0
4,59,5,moderado,4.0
4,60,3,moderado,9.0
4,60,4,leve,24.0
4,60,4,moderado,4.0
4,60,6,leve,24.0
4,60,6,moderado,3.0
4,60,7,leve,10.0
4,60,7,moderado,3.0
5,20,2,moderado,7.0
5,20,3,moderado,3.0
5,20,4,moderado,2.0
5,62,6,leve,9.5
5,62,6,moderado,3.0
5,62,7,leve,11.5
5,62,7,moderado,2.0
5,81,3,moderado,2.0
5,81,4,leve,20.0
5,81,4,moderado,7.0
5,81,5,leve,20.0
5,81,5,moderado,3.0
5,81,7,leve,20.0
6,80,4,leve,35.0
6,80,4,moderado,12.0
6,80,5,leve,35.0
6,80,5,moderado,12.0
6,80,6,leve,35.0
6,80,6,moderado,12.0
6,80,7,leve,35.0
6,80,7,moderado,12.0
7,13,3,leve,21.0
7,13,3,moderado,7.0
7,13,4,leve,21.0
7,13,4,moderado,7.0
7,13,5,leve,21.0
7,13,5,moderado,7.0
7,13,6,leve,12.0
7,13,6,moderado,6.0
7,13,7,leve,7.0
7,13,7,moderado,2.0
8,68,2,moderado,12.0
8,68,3,moderado,9.0
8,68,4,moderado,7.0
8,68,6,leve,42.0
8,68,7,leve,42.0
8,68,7,moderado,4.0
8,71,4,leve,42.0
8,71,5,moderado,6.0
8,71,6,leve,42.0
8,71,6,moderado,6.0
8,72,2,moderado,15.0
9,20,2,moderado,9.0
9,20,3,moderado,9.0
9,20,4,leve,20.0
9,20,4,moderado,9.0
9,20,5,leve,7.0
9,82,5,leve,27.0
9,82,5,moderado,4.0
9,82,6,leve,27.0
9,82,6,moderado,4.0
9,82,7,leve,27.0
9,82,7,moderado,3.0
10,20,2,moderado,7.0
10,20,4,moderado,7.0
10,20,5,leve,21.0
10,81,2,moderado,1.0
10,81,3,moderado,7.0
10,81,5,leve,21.0
10,81,6,moderado,3.0
10,81,7,leve,18.5
10,81,7,moderado,2.0
10,82,5,leve,4.5
10,82,5,moderado,3.0
10,82,6,leve,13.0
10,82,7,leve,6.0
11,21,3,moderado,10.0
11,21,4,moderado,10.0
11,21,5,leve,29.0
11,21,7,leve,9.0
11,21,7,moderado,4.0
11,33,4,leve,17.0
11,33,4,moderado,9.0
11,33,5,leve,29.0
11,33,6,leve,29.0
11,33,6,moderado,4.0
11,75,5,leve,3.0
11,75,5,moderado,4.0
12,21,3,moderado,13.0
12,21,6,moderado,4.2
12,21,7,leve,37.0
12,21,7,moderado,4.0
12,33,4,leve,37.0
12,33,4,moderado,9.0
12,33,5,leve,37.0
12,33,5,moderado,5.0
12,33,6,leve,37.0
12,33,6,moderado,0.8
12,75,2,moderado,4.0
12,75,3,moderado,13.0
12,75,4,leve,1.0
13,26,4,leve,44.0
13,26,4,moderado,15.0
13,26,5,leve,44.0
13,26,5,moderado,15.0
13,26,6,leve,44.0
13,26,6,moderado,15.0
13,26,7,leve,42.0
13,26,7,moderado,15.0
14,27,1,moderado,27.0
14,27,3,moderado,16.0
14,27,5,moderado,11.0
14,27,6,leve,77.0
14,27,7,leve,77.0
14,27,7,moderado,9.0
14,75,2,moderado,22.0
14,75,4,leve,68.0
14,75,4,moderado,13.0
14,75,5,leve,77.0
14,84,6,leve,10.0
14,85,6,moderado,11.0
15,13,3,leve,38.0
15,13,3,moderado,14.0
15,13,4,leve,38.0
15,13,4,moderado,14.0
15,13,5,leve,38.0
15,13,5,moderado,14.0
15,13,6,leve,27.0
15,13,6,moderado,8.0
15,13,7,leve,12.0
15,13,7,moderado,4.0
16,59,2,moderado,16.0
16,59,3,moderado,37.0
16,59,4,leve,106.0
16,59,4,moderado,18.0
16,59,5,moderado,13.8
16,60,3,moderado,37.0
16,60,5,leve,107.0
16,60,5,moderado,1.2
16,60,6,leve,107.0
16,60,6,moderado,15.0
16,60,7,leve,107.0
16,60,7,moderado,12.0
17,21,3,moderado,11.0
17,21,4,leve,4.0
17,21,4,moderado,11.0
17,21,5,leve,32.0
17,21,6,leve,32.0
17,21,7,leve,10.0
17,21,7,moderado,4.0
17,33,4,moderado,10.0
17,33,5,leve,19.0
17,33,5,moderado,5.0
17,33,6,leve,32.0
17,33,6,moderado,4.0
18,27,2,moderado,8.0
18,27,4,moderado,4.0
18,27,5,moderado,4.0
18,27,6,leve,28.0
18,27,7,leve,28.0
18,27,7,moderado,3.0
18,75,2,moderado,10.0
18,75,3,moderado,6.0
18,84,6,leve,28.0
18,84,6,moderado,4.0
18,84,7,leve,27.0
19,59,4,leve,11.0
19,59,4,moderado,4.0
19,59,5,leve,5.0
19,59,5,moderado,2.0
19,60,3,moderado,3.0
19,60,4,leve,2.0
19,60,4,moderado,4.0
19,60,5,leve,11.0
19,60,6,leve,11.0
19,60,6,moderado,1.0
19,60,7,leve,4.0
19,60,7,moderado,1.0
20,38,4,leve,8.0
20,38,4,moderado,3.0
20,38,5,leve,8.0
20,38,5,moderado,3.0
20,38,6,leve,8.0
20,38,6,moderado,3.0
20,38,7,leve,8.0
20,38,7,moderado,2.0
21,40,5,leve,18.0
21,40,5,moderado,6.0
21,40,6,leve,18.0
21,40,6,moderado,6.0
21,40,7,leve,18.0
21,40,7,moderado,6.0
22,78,2,leve,11.5
22,78,2,moderado,10.0
22,78,3,moderado,10.0
22,78,4,leve,29.0
22,78,4,moderado,9.0
22,78,5,leve,29.0
22,78,5,moderado,4.0
22,78,6,leve,29.0
22,78,6,moderado,4.0
22,78,7,leve,18.5
22,78,7,moderado,4.0
23,59,2,moderado,6.0
23,59,3,moderado,6.0
23,59,4,leve,18.5
23,59,4,moderado,6.0
23,59,5,moderado,3.0
23,60,5,leve,19.0
23,60,6,leve,18.5
23,60,6,moderado,3.0
23,60,7,leve,19.0
23,60,7,moderado,2.0
24,21,3,moderado,46.0
24,21,4,leve,100.0
24,21,4,moderado,21.4
24,21,5,leve,147.0
24,21,5,moderado,12.8
24,21,6,leve,147.0
24,21,6,moderado,4.2
24,21,7,leve,47.0
24,21,7,moderado,16.0
24,27,2,moderado,52.0
24,27,3,moderado,20.0
24,27,4,moderado,2.2
24,27,5,moderado,2.6
24,27,6,leve,147.0
24,75,3,moderado,6.0
24,75,4,moderado,1.4
24,84,5,moderado,5.6
24,84,6,moderado,16.8
25,68,2,moderado,72.0
25,68,3,moderado,54.0
25,68,4,leve,185.0
25,68,4,moderado,27.0
25,68,5,leve,256.0
25,68,6,leve,256.0
25,71,4,moderado,16.0
25,71,5,moderado,1.2
25,71,6,moderado,36.0
25,71,7,leve,256.0
25,71,7,moderado,28.0
25,72,1,moderado,90.0
25,79,5,moderado,34.8
25,79,6,leve,70.0
26,78,2,leve,21.0
26,78,2,moderado,13.0
26,78,3,leve,32.5
26,78,3,moderado,13.0
26,78,4,leve,8.5
26,78,4,moderado,12.0
26,78,5,leve,37.0
26,78,5,moderado,5.0
26,78,6,leve,37.0
