i,j,minutos
5,71,199
5,72,278
5,73,278
5,74,123
5,75,119
5,76,122
5,77,313
5,78,312
5,79,296
5,80,291
5,81,290
5,82,307
5,83,307
5,84,305
5,85,130
5,86,131
5,87,140
5,88,113
5,89,115
5,90,112
5,91,99
5,92,100
5,93,98
5,94,117
5,95,108
5,96,117
5,97,275
5,98,276
6,1,304
6,2,303
6,3,306
6,4,128
6,5,129
6,6,128
6,7,111
6,8,118
6,9,118
6,10,337
6,11,339
6,12,332
6,13,238
6,14,240
6,15,242
6,16,2
6,17,3
6,18,3
6,19,178
6,20,183
6,21,184
6,22,317
6,23,315
6,24,324
6,25,325
6,26,330
6,27,57
6,28,57
6,29,12110
6,30,12110
6,31,12108
6,32,78
6,33,74
6,34,74
6,35,87
6,36,88
6,37,146
6,38,143
6,39,143
6,40,122
6,41,122
6,42,121
6,43,24
6,44,25
6,45,25
6,46,106
6,47,112
6,48,111
6,49,77
6,50,82
6,51,77
6,52,105
6,53,100
6,54,67
6,55,174
6,56,188
6,57,188
6,58,140
6,59,160
6,60,88
6,61,87
6,62,91
6,63,96
6,64,98
6,65,97
6,66,184
6,67,170
6,68,177
6,69,174
6,70,173
6,71,174
6,72,84
6,73,86
6,74,361
6,75,358
6,76,361
6,77,115
6,78,115
6,79,79
6,80,71
6,81,69
6,82,92
6,83,92
6,84,92
6,85,368
6,86,370
6,87,377
6,88,218
6,89,222
6,90,219
6,91,161
6,92,158
6,93,165
6,94,197
6,95,196
6,96,180
6,97,170
6,98,171
7,1,164
7,2,163
7,3,167
7,4,228
7,5,229
7,6,225
7,7,279
7,8,285
7,9,283
7,10,223
7,11,223
7,12,214
7,13,143
7,14,143
7,15,143
7,16,178
7,17,178
7,18,178
7,19,4
7,20,3
7,21,4
7,22,176
7,23,175
7,24,188
7,25,194
7,26,205
7,27,124
7,28,124
7,29,11939
7,30,11939
7,31,11937
7,32,106
7,33,109
7,34,110
7,35,93
7,36,93
7,37,192
7,38,195
7,39,195
7,40,80
7,41,78
7,42,77
7,43,177
7,44,175
7,45,174
7,46,278
7,47,283
7,48,281
7,49,124
7,50,128
7,51,121
7,52,104
7,53,111
7,54,245
7,55,156
7,56,304
7,57,305
7,58,81
7,59,70
7,60,266
7,61,265
7,62,268
7,63,85
7,64,83
7,65,83
7,66,41
7,67,52
7,68,50
7,69,53
7,70,54
7,71,57
7,72,254
7,73,255
7,74,248
7,75,244
7,76,246
7,77,290
7,78,289
7,79,257
7,80,250
7,81,248
7,82,271
7,83,271
7,84,270
7,85,254
7,86,255
7,87,267
7,88,48
7,89,50
7,90,49
7,91,59
7,92,61
7,93,56
7,94,29
7,95,37
7,96,26
7,97,137
7,98,138
8,1,15
8,2,16
8,3,13
8,4,400
8,5,401
8,6,397
8,7,383
8,8,387
8,9,383
8,10,60
8,11,57
8,12,49
8,13,92
8,14,90
8,15,87
8,16,316
8,17,316
8,18,316
8,19,182
8,20,177
8,21,176
8,22,3
8,23,4
8,24,11
8,25,20
8,26,36
8,27,274
8,28,274
8,29,11889
8,30,11889
8,31,11888
8,32,264
8,33,266
8,34,267
8,35,245
8,36,244
8,37,370
8,38,373
8,39,372
8,40,197
8,41,198
8,42,199
8,43,304
8,44,301
8,45,301
8,46,386
8,47,391
8,48,388
8,49,289
8,50,296
8,51,286
8,52,213
8,53,219
8,54,371
8,55,334
8,56,476
8,57,476
8,58,260
8,59,248
8,60,405
8,61,403
8,62,408
8,63,232
8,64,231
8,65,232
8,66,148
8,67,155
8,68,149
8,69,229
8,70,231
8,71,233
8,72,366
8,73,365
8,74,79
8,75,77
8,76,77
8,77,401
8,78,400
8,79,381
8,80,376
8,81,374
8,82,393
8,83,393
8,84,391
8,85,84
8,86,84
8,87,98
8,88,132
8,89,132
8,90,132
