i,j,minutos
24,42,210
24,43,101
24,44,104
24,45,104
24,46,77
24,47,80
24,48,82
24,49,150
24,50,151
24,51,152
24,52,192
24,53,186
24,54,44
24,55,223
24,56,152
24,57,152
24,58,214
24,59,236
24,60,1
24,61,3
24,62,3
24,63,183
24,64,185
24,65,185
24,66,272
24,67,258
24,68,266
24,69,253
24,70,252
24,71,252
24,72,72
24,73,75
24,74,444
24,75,440
24,76,443
24,77,73
24,78,73
24,79,43
24,80,41
24,81,41
24,82,45
24,83,45
24,84,46
24,85,451
24,86,453
24,87,459
24,88,306
24,89,310
24,90,307
24,91,249
24,92,246
24,93,253
24,94,284
24,95,285
24,96,268
24,97,225
24,98,226
25,1,217
25,2,217
25,3,220
25,4,172
25,5,173
25,6,170
25,7,194
25,8,201
25,9,199
25,10,261
25,11,262
25,12,255
25,13,165
25,14,165
25,15,167
25,16,94
25,17,94
25,18,94
25,19,84
25,20,88
25,21,88
25,22,231
25,23,229
25,24,240
25,25,242
25,26,249
25,27,43
25,28,42
25,29,12022
25,30,12022
25,31,12021
25,32,33
25,33,35
25,34,35
25,35,13
25,36,12
25,37,155
25,38,156
25,39,155
25,40,40
25,41,39
25,42,37
25,43,92
25,44,90
25,45,89
25,46,193
25,47,198
25,48,196
25,49,60
25,50,69
25,51,57
25,52,45
25,53,47
25,54,160
25,55,147
25,56,247
25,57,247
25,58,76
25,59,88
25,60,183
25,61,182
25,62,186
25,63,1
25,64,2
25,65,3
25,66,90
25,67,78
25,68,85
25,69,93
25,70,93
25,71,94
25,72,169
25,73,170
25,74,286
25,75,283
25,76,285
25,77,205
25,78,204
25,79,172
25,80,165
25,81,163
25,82,185
25,83,186
25,84,185
25,85,293
25,86,294
25,87,304
25,88,123
25,89,126
25,90,123
25,91,71
25,92,69
25,93,74
25,94,101
25,95,101
25,96,85
25,97,133
25,98,134
26,1,136
26,2,135
26,3,139
26,4,249
26,5,250
26,6,247
26,7,260
26,8,265
26,9,263
26,10,186
26,11,186
26,12,178
26,13,98
26,14,97
26,15,99
26,16,173
26,17,173
26,18,172
26,19,52
26,20,50
26,21,49
26,22,150
26,23,148
26,24,159
26,25,163
26,26,171
26,27,125
26,28,125
26,29,11965
26,30,11965
26,31,11964
26,32,113
26,33,116
26,34,116
26,35,94
26,36,94
26,37,222
26,38,224
26,39,224
26,40,55
26,41,54
26,42,54
26,43,165
26,44,163
26,45,162
26,46,261
26,47,266
26,48,263
26,49,138
26,50,145
26,51,135
26,52,78
26,53,85
26,54,235
26,55,195
26,56,325
26,57,325
26,58,116
26,59,112
26,60,263
26,61,261
26,62,265
26,63,82
26,64,81
26,65,82
26,66,13
26,67,6
26,68,3
26,69,99
26,70,100
26,71,103
26,72,238
26,73,238
26,74,211
26,75,208
26,76,210
26,77,274
26,78,273
26,79,246
26,80,240
26,81,238
26,82,259
26,83,260
26,84,258
26,85,218
26,86,219
26,87,230
26,88,51
26,89,54
26,90,50
26,91,16
26,92,20
26,93,12
26,94,35
26,95,29
26,96,24
26,97,177
26,98,178
27,1,216
27,2,215
27,3,219
27,4,190
27,5,191
27,6,187
27,7,281
27,8,288
27,9,287
27,10,276
27,11,276
27,12,267
27,13,196
27,14,196
27,15,196
27,16,172
27,17,172
27,18,172
27,19,50
27,20,54
27,21,56
27,22,228
27,23,226
27,24,240
27,25,246
27,26,258
27,27,117
27,28,117
27,29,11936
27,30,11936
27,31,11935
27,32,96
27,33,99
27,34,100
27,35,94
27,36,93
27,37,147
27,38,151
27,39,151
27,40,110
27,41,107
27,42,105
27,43,178
27,44,176
27,45,175
27,46,278
27,47,284
27,48,282
27,49,102
27,50,102
27,51,100
27,52,129
27,53,134
27,54,240
27,55,104
27,56,265
27,57,265
27,58,40
27,59,21
27,60,252
27,61,252
27,62,254
27,63,93
27,64,91
27,65,90
27,66,94
27,67,101
27,68,101
27,69,1
27,70,1
27,71,3
27,72,255
27,73,257
27,74,301
27,75,298
27,76,299
27,77,288
27,78,288
27,79,252
27,80,245
27,81,242
27,82,266
27,83,266
27,84,265
27,85,307
27,86,308
27,87,320
27,88,98
27,89,99
27,90,99
27,91,104
27,92,105
27,93,103
27,94,82
27,95,91
27,96,79
27,97,85
27,98,86
28,1,352
28,2,352
28,3,354
28,4,186
28,5,187
28,6,187
28,7,26
28,8,33
28,9,34
28,10,372
28,11,375
28,12,369
28,13,277
28,14,279
28,15,282
28,16,86
28,17,85
28,18,86
28,19,253
28,20,257
28,21,258
28,22,365
28,23,363
28,24,370
28,25,369
28,26,370
28,27,139
28,28,139
28,29,12191
28,30,12191
28,31,12190
28,32,160
28,33,157
28,34,156
28,35,164
28,36,165
28,37,220
28,38,216
28,39,216
28,40,183
28,41,184
28,42,184
28,43,78
28,44,81
28,45,81
28,46,23
28,47,29
28,48,27
28,49,162
28,50,167
28,51,162
28,52,160
28,53,153
28,54,33
28,55,256
28,56,223
28,57,223
28,58,224
28,59,244
28,60,74
28,61,71
28,62,76
28,63,170
28,64,172
28,65,172
28,66,249
28,67,232
28,68,240
28,69,256
28,70,256
28,71,256
28,72,2
28,73,2
28,74,394
28,75,390
28,76,394
28,77,36
28,78,35
28,79,31
28,80,34
28,81,35
28,82,34
28,83,34
28,84,32
28,85,401
28,86,403
28,87,407
28,88,286
28,89,290
28,90,286
28,91,222
28,92,218
28,93,227
28,94,266
28,95,264
28,96,249
28,97,253
28,98,254
29,1,84
29,2,85
29,3,81
29,4,453
29,5,454
29,6,450
29,7,405
29,8,408
29,9,403
29,10,20
29,11,20
29,12,28
29,13,119
29,14,118
29,15,115
29,16,356
29,17,355
29,18,355
29,19,246
29,20,241
29,21,240
29,22,77
29,23,77
29,24,62
29,25,54
29,26,39
29,27,321
29,28,320
29,29,11915
29,30,11915
29,31,11913
29,32,314
29,33,316
29,34,317
29,35,294
29,36,294
29,37,428
29,38,430
29,39,430
29,40,242
29,41,244
29,42,245
29,43,340
29,44,337
29,45,337
29,46,409
29,47,413
29,48,410
29,49,341
29,50,349
29,51,338
29,52,253
29,53,258
29,54,402
29,55,398
29,56,528
29,57,528
29,58,321
29,59,312
29,60,440
29,61,438
29,62,443
29,63,281
29,64,280
29,65,282
29,66,206
29,67,208
29,68,204
29,69,295
29,70,296
29,71,299
29,72,391
29,73,390
29,74,6
29,75,4
29,76,4
29,77,424
29,78,423
29,79,411
29,80,407
29,81,405
29,82,421
29,83,422
29,84,420
29,85,12
29,86,13
29,87,25
29,88,199
29,89,199
29,90,198
29,91,212
29,92,214
29,93,210
29,94,213
29,95,205
29,96,220
29,97,380
29,98,380
30,1,387
30,2,387
30,3,389
30,4,199
30,5,199
30,6,201
30,7,21
30,8,22
30,9,29
30,10,405
30,11,408
30,12,403
30,13,311
30,14,313
30,15,316
30,16,117
30,17,116
30,18,116
30,19,288
30,20,292
30,21,292
30,22,400
30,23,398
30,24,404
30,25,403
30,26,404
30,27,171
30,28,171
30,29,12224
30,30,12224
30,31,12223
30,32,192
30,33,189
30,34,189
30,35,198
30,36,199
30,37,239
30,38,235
30,39,234
30,40,219
30,41,220
30,42,220
30,43,112
30,44,115
30,45,115
30,46,14
30,47,12
30,48,15
30,49,191
30,50,195
30,51,192
30,52,196
30,53,189
30,54,51
30,55,281
30,56,225
30,57,224
30,58,255
30,59,275
30,60,74
30,61,71
30,62,74
30,63,204
30,64,206
30,65,206
30,66,284
30,67,268
30,68,276
30,69,289
30,70,288
30,71,289
30,72,36
30,73,35
30,74,426
30,75,423
30,76,427
30,77,1
30,78,1
30,79,40
30,80,48
30,81,50
30,82,30
30,83,30
30,84,29
30,85,433
30,86,435
30,87,440
30,88,322
30,89,325
30,90,322
30,91,258
30,92,254
30,93,262
30,94,301
30,95,299
30,96,285
30,97,279
30,98,280
31,1,363
31,2,363
31,3,365
31,4,156
31,5,157
31,6,158
31,7,50
31,8,57
31,9,61
31,10,388
31,11,391
31,12,385
31,13,291
31,14,293
31,15,296
31,16,75
31,17,74
31,18,75
31,19,250
31,20,255
31,21,255
31,22,377
31,23,374
31,24,382
31,25,382
31,26,384
31,27,130
31,28,130
31,29,12182
31,30,12182
31,31,12181
31,32,151
31,33,147
31,34,147
31,35,159
31,36,160
31,37,194
31,38,189
31,39,189
31,40,187
31,41,187
31,42,187
31,43,76
31,44,79
31,45,79
31,46,43
31,47,48
31,48,48
31,49,147
31,50,151
31,51,148
31,52,166
31,53,160
31,54,7
31,55,235
31,56,191
31,57,191
31,58,212
31,59,232
31,60,42
31,61,39
31,62,44
31,63,167
31,64,169
31,65,168
31,66,252
31,67,236
31,68,244
31,69,247
31,70,246
31,71,247
31,72,31
31,73,34
31,74,411
31,75,407
31,76,411
31,77,46
31,78,46
31,79,6
31,80,2
31,81,4
31,82,19
31,83,19
31,84,19
31,85,418
31,86,420
31,87,425
31,88,288
31,89,291
31,90,288
31,91,226
31,92,223
31,93,231
31,94,267
31,95,265
31,96,250
31,97,234
31,98,235
32,1,379
32,2,378
32,3,381
32,4,169
32,5,170
32,6,171
32,7,41
32,8,46
32,9,52
32,10,402
32,11,404
32,12,399
32,13,306
32,14,307
32,15,310
32,16,94
32,17,93
32,18,94
32,19,269
32,20,273
32,21,274
32,22,392
32,23,390
32,24,397
32,25,397
32,26,398
32,27,149
32,28,149
32,29,12202
32,30,12201
32,31,12200
32,32,170
32,33,167
32,34,166
32,35,178
32,36,179
32,37,210
32,38,205
32,39,205
32,40,204
32,41,205
32,42,205
32,43,94
32,44,97
32,45,97
32,46,32
32,47,35
32,48,36
32,49,166
32,50,170
32,51,167
32,52,183
32,53,176
32,54,26
32,55,253
32,56,197
32,57,197
32,58,231
32,59,251
32,60,46
32,61,43
32,62,47
32,63,185
32,64,187
32,65,187
32,66,269
32,67,254
32,68,262
32,69,266
32,70,265
32,71,266
32,72,33
32,73,35
32,74,424
32,75,420
32,76,424
32,77,30
32,78,30
32,79,13
32,80,21
32,81,23
32,82,1
32,83,1
32,84,1
32,85,431
32,86,433
32,87,438
32,88,306
32,89,309
32,90,306
32,91,244
32,92,240
32,93,248
32,94,285
32,95,283
32,96,268
32,97,252
32,98,253
33,1,98
33,2,99
33,3,95
33,4,467
33,5,468
33,6,465
33,7,416
33,8,419
33,9,414
33,10,35
33,11,34
33,12,43
33,13,132
33,14,131
33,15,129
33,16,369
33,17,368
33,18,368
33,19,260
33,20,256
33,21,254
33,22,90
33,23,90
33,24,76
33,25,67
33,26,53
33,27,335
33,28,334
33,29,11913
33,30,11913
33,31,11912
33,32,328
33,33,330
33,34,331
33,35,308
33,36,308
33,37,443
33,38,445
33,39,444
33,40,256
33,41,258
33,42,259
33,43,353
33,44,350
33,45,350
33,46,421
33,47,424
33,48,421
33,49,355
33,50,363
33,51,352
33,52,266
33,53,271
33,54,414
33,55,412
33,56,542
33,57,542
33,58,335
33,59,327
33,60,453
33,61,450
33,62,455
33,63,295
33,64,294
33,65,296
33,66,221
33,67,223
33,68,219
33,69,309
33,70,311
33,71,313
33,72,403
33,73,402
33,74,9
33,75,13
33,76,11
33,77,436
33,78,434
33,79,423
33,80,419
33,81,418
33,82,433
33,83,433
33,84,431
33,85,3
33,86,4
33,87,11
33,88,214
33,89,214
33,90,213
33,91,226
33,92,228
33,93,225
33,94,228
33,95,220
33,96,234
33,97,394
33,98,395
34,1,115
34,2,115
34,3,118
34,4,279
34,5,280
34,6,276
34,7,312
34,8,317
34,9,315
34,10,178
34,11,177
34,12,168
34,13,113
34,14,111
34,15,111
34,16,220
34,17,220
34,18,219
34,19,55
34,20,50
34,21,48
34,22,127
34,23,126
34,24,140
34,25,146
34,26,158
34,27,168
34,28,168
34,29,11913
34,30,11913
34,31,11911
34,32,152
34,33,155
34,34,156
34,35,136
34,36,136
34,37,243
34,38,247
34,39,246
34,40,106
34,41,105
34,42,105
34,43,215
34,44,212
34,45,212
34,46,312
34,47,317
34,48,315
34,49,173
34,50,178
34,51,170
34,52,130
34,53,137
34,54,284
34,55,204
34,56,356
34,57,356
34,58,132
34,59,119
34,60,309
34,61,308
34,62,312
34,63,126
34,64,124
34,65,125
34,66,41
34,67,58
34,68,51
34,69,100
34,70,101
34,71,104
34,72,289
34,73,289
34,74,202
34,75,199
34,76,200
34,77,325
34,78,324
34,79,296
34,80,290
34,81,287
34,82,309
34,83,309
34,84,308
34,85,208
34,86,209
34,87,221
34,88,3
34,89,3
34,90,3
34,91,69
34,92,73
34,93,64
34,94,25
34,95,26
34,96,41
34,97,186
34,98,187
35,1,146
35,2,145
35,3,149
35,4,241
35,5,242
35,6,239
35,7,243
35,8,248
35,9,246
35,10,191
35,11,192
35,12,184
35,13,98
35,14,98
35,15,100
35,16,159
35,17,158
35,18,158
35,19,62
35,20,62
35,21,61
35,22,160
35,23,158
35,24,168
35,25,171
35,26,179
35,27,113
35,28,113
35,29,11983
35,30,11983
35,31,11982
35,32,104
35,33,106
35,34,106
35,35,84
35,36,83
35,37,218
35,38,220
35,39,219
35,40,39
35,41,39
35,42,39
35,43,150
35,44,147
35,45,147
35,46,244
35,47,249
35,48,246
35,49,129
35,50,138
35,51,127
35,52,61
35,53,68
35,54,219
35,55,195
35,56,317
35,57,317
35,58,116
35,59,115
35,60,248
35,61,247
35,62,251
35,63,71
35,64,70
35,65,71
35,66,30
35,67,12
35,68,20
35,69,105
35,70,106
35,71,109
35,72,221
35,73,221
35,74,217
35,75,213
35,76,215
35,77,257
35,78,256
35,79,231
35,80,225
35,81,222
35,82,243
35,83,244
35,84,242
35,85,224
35,86,225
35,87,235
35,88,68
35,89,72
35,90,68
35,91,1
35,92,3
35,93,6
35,94,52
35,95,46
35,96,38
35,97,178
35,98,180
36,1,135
36,2,134
36,3,137
36,4,254
36,5,255
36,6,251
36,7,286
36,8,292
36,9,290
36,10,193
36,11,193
36,12,184
36,13,116
36,14,115
36,15,115
36,16,193
36,17,192
36,18,192
36,19,34
36,20,29
36,21,28
36,22,147
36,23,146
36,24,159
36,25,164
36,26,175
36,27,141
36,28,140
36,29,11936
36,30,11936
36,31,11934
36,32,125
36,33,128
36,34,129
36,35,109
36,36,109
36,37,220
36,38,224
36,39,223
36,40,81
36,41,80
36,42,79
36,43,188
36,44,185
36,45,185
36,46,286
36,47,291
36,48,289
36,49,146
36,50,152
36,51,144
36,52,105
36,53,112
36,54,257
36,55,185
36,56,331
36,57,331
36,58,110
36,59,100
36,60,282
36,61,281
36,62,285
36,63,99
36,64,97
36,65,98
36,66,19
36,67,37
36,68,31
36,69,83
36,70,84
36,71,87
36,72,263
36,73,263
36,74,218
36,75,214
36,76,216
36,77,299
36,78,298
36,79,269
36,80,263
36,81,260
36,82,282
36,83,283
36,84,281
36,85,224
36,86,225
36,87,237
36,88,24
36,89,27
36,90,24
36,91,47
36,92,50
36,93,43
36,94,3
36,95,7
36,96,14
36,97,167
36,98,168
37,1,301
37,2,301
37,3,304
37,4,126
37,5,127
37,6,123
37,7,279
37,8,286
37,9,288
37,10,360
37,11,360
37,12,352
37,13,276
37,14,275
37,15,276
37,16,169
37,17,170
37,18,170
37,19,134
37,20,139
37,21,140
37,22,313
37,23,312
37,24,326
37,25,331
37,26,343
37,27,129
37,28,130
37,29,11960
37,30,11960
37,31,11959
37,32,113
37,33,115
37,34,114
37,35,126
37,36,126
37,37,72
37,38,78
37,39,78
37,40,168
37,41,165
37,42,163
37,43,185
37,44,184
37,45,183
37,46,274
37,47,279
37,48,279
37,49,96
37,50,89
37,51,97
37,52,179
37,53,181
37,54,229
37,55,18
37,56,194
37,57,194
37,58,63
37,59,68
37,60,225
37,61,226
37,62,227
37,63,134
37,64,133
37,65,131
37,66,175
37,67,177
37,68,179
37,69,87
37,70,85
37,71,83
37,72,252
37,73,255
37,74,385
37,75,382
37,76,384
37,77,280
37,78,280
37,79,240
37,80,232
37,81,230
37,82,252
37,83,252
37,84,252
37,85,392
37,86,393
37,87,404
37,88,183
37,89,184
37,90,184
37,91,178
37,92,178
37,93,178
37,94,167
37,95,175
37,96,161
37,97,1
37,98,1
