t,centros_activos,equipos_totales,pacientes_atendidos,espera_leve,espera_moderado,graves_hospital,graves_pma
1,3,19,228,2688,714,403,0
2,5,32,384,4839,1088,321,0
3,8,55,660,6451,998,244,0
4,12,78,966,7692,537,196,0
5,18,93,1474,8134,75,165,0
6,17,104,2418,7180,58,161,0
7,13,112,2755,5598,47,124,0
