id,nombre,lat,lon,poblacion
1,Vina del Mar,-33.016553,-71.532539,334871
2,Valparaiso,-33.05693,-71.608601,284938
3,Quilpue,-33.048765,-71.434238,162559
4,Villa Alemana,-33.047459,-71.376434,139571
5,Concon,-32.933925,-71.522482,48294
