t,centros_activos,equipos_totales,pacientes_atendidos,espera_leve,espera_moderado,graves_hospital,graves_pma
1,4,24,288,2688,654,403,0
2,8,40,480,4839,932,321,0
3,13,69,880,6360,714,244,0
4,18,97,1241,7420,158,196,0
5,20,116,2687,6234,111,165,0
6,18,130,3101,4612,80,161,0
7,15,140,3575,2216,63,124,0
