i,j,t,g,a_ijtg
31,37,2,moderado,8.0
31,37,3,moderado,8.0
31,37,4,moderado,2.0
31,37,5,leve,20.0
31,37,5,moderado,8.0
31,37,6,leve,18.0
31,37,6,moderado,3.0
31,37,7,leve,9.0
31,37,7,moderado,3.0
32,62,4,moderado,4.0
32,62,5,leve,10.0
32,62,5,moderado,4.0
32,62,6,leve,10.0
32,62,6,moderado,4.0
32,62,7,leve,10.0
32,62,7,moderado,2.0
33,63,2,moderado,71.0
33,63,3,moderado,4.0
33,63,4,moderado,120.0
33,72,1,moderado,52.0
33,72,3,moderado,35.0
33,72,4,moderado,149.0
33,72,5,moderado,60.0
33,72,6,moderado,60.0
33,72,7,moderado,48.0
34,76,2,moderado,36.0
34,76,3,moderado,36.0
34,76,4,moderado,66.0
34,83,3,moderado,40.0
34,83,4,moderado,9.0
34,83,5,moderado,39.0
34,83,6,moderado,27.0
34,83,7,leve,196.0
34,83,7,moderado,22.0
35,63,2,moderado,49.0
35,63,3,moderado,176.0
35,72,1,moderado,176.0
35,72,2,moderado,21.0
35,72,4,moderado,4.0
35,72,5,moderado,66.0
35,72,6,moderado,66.0
35,72,7,moderado,56.0
35,83,3,moderado,1.0
35,83,4,moderado,81.0
35,83,5,moderado,4.0
35,83,6,leve,402.5
35,83,6,moderado,4.0
35,83,7,leve,501.0
