t,centros_activos,equipos_totales,pacientes_atendidos,espera_leve,espera_moderado,graves_hospital,graves_pma
1,1,19,228,2688,714,403,0
2,7,32,384,4839,1088,321,0
3,10,55,684,6411,1014,244,0
4,11,78,960,7662,549,196,0
5,19,93,1556,7844,265,165,0
6,18,104,2054,7340,162,161,0
7,18,112,1990,6540,134,124,0
