i,j,t,g,a_ijtg
22,78,2,moderado,8.0
22,78,3,moderado,8.0
22,78,4,moderado,3.0
22,78,5,leve,21.0
23,44,3,moderado,6.0
23,44,4,moderado,1.8
23,44,5,moderado,3.0
23,57,5,leve,19.0
23,57,6,leve,19.0
23,57,6,moderado,3.0
23,57,7,leve,18.0
23,57,7,moderado,2.0
23,58,2,moderado,3.0
23,58,3,moderado,6.0
23,58,4,moderado,1.2
23,58,5,leve,19.0
24,21,3,moderado,31.0
24,21,4,moderado,48.0
24,21,5,moderado,6.2
24,21,6,leve,66.0
24,22,3,moderado,21.0
24,22,4,leve,147.0
24,22,6,leve,20.5
24,28,6,leve,144.5
24,28,6,moderado,21.0
24,28,7,leve,47.0
24,28,7,moderado,16.0
24,45,3,moderado,49.0
24,45,4,leve,110.0
24,45,5,leve,53.0
24,45,5,moderado,14.8
25,16,5,moderado,29.6
25,16,6,leve,251.0
25,16,7,leve,256.0
25,16,7,moderado,28.0
25,27,1,moderado,15.0
25,27,2,moderado,38.0
25,27,3,moderado,84.0
25,28,5,moderado,6.4
25,28,6,leve,180.0
25,28,6,moderado,36.0
25,28,7,leve,229.0
25,63,7,leve,57.0
25,76,3,moderado,36.0
25,84,2,moderado,36.0
25,84,3,moderado,7.0
25,84,4,leve,50.0
25,84,4,moderado,43.0
26,15,5,moderado,5.0
26,15,7,leve,37.0
26,15,7,moderado,4.0
26,78,2,moderado,13.0
26,78,3,moderado,13.0
26,78,4,leve,37.0
26,78,4,moderado,12.0
26,78,5,leve,37.0
26,78,6,leve,20.5
26,78,6,moderado,5.0
26,78,7,leve,16.5
27,57,4,moderado,5.2
27,57,5,leve,18.0
27,57,5,moderado,3.0
27,57,6,leve,17.0
27,57,6,moderado,2.0
27,57,7,leve,18.0
27,57,7,moderado,2.0
27,58,2,moderado,6.0
27,58,3,moderado,6.0
27,58,4,moderado,0.8
27,58,5,leve,18.0
28,20,2,moderado,30.0
28,20,3,moderado,46.0
28,20,4,leve,9.0
28,20,4,moderado,17.0
28,53,5,leve,141.0
28,53,5,moderado,13.2
28,53,6,leve,141.0
28,53,6,moderado,13.2
28,53,7,leve,70.5
28,53,7,moderado,16.0
28,62,4,leve,10.0
28,62,4,moderado,49.0
28,62,5,leve,59.5
28,62,5,moderado,6.8
28,62,6,leve,133.0
28,62,6,moderado,6.8
29,57,4,moderado,9.0
29,57,5,leve,30.0
29,57,5,moderado,4.0
29,57,6,leve,1.0
29,57,6,moderado,4.0
29,57,7,leve,30.0
