parametro,valor,unidad,descripcion
T_max,30,minutos,Tiempo maximo de viaje permitido (supuesto informe)
Pres,1528,UF,Presupuesto total (65% costo fijo abrir todos los centros)
L,3,dias,Dias minimos de operacion de un centro abierto
P_leve,1,peso,Peso prioridad pacientes leves
P_moderado,10,peso,Peso prioridad pacientes moderados
ratio_leve,20,pacientes/equipo/dia,Capacidad atencion leves por equipo
ratio_moderado,10,pacientes/equipo/dia,Capacidad atencion moderados por equipo
horizonte_dias,7,dias,Horizonte temporal T
tau_total_heridos,0.005,por_mil,Tasa heridos leves+moderados (MMI VIII)
prop_leve,0.74,proporcion,Fraccion leve sobre demanda modelada
prop_moderado,0.26,proporcion,Fraccion moderado sobre demanda modelada
factor_camas_post_desastre,0.771,proporcion,Camas operativas post 27-F
velocidad_emergencia_kmh,25,km/h,Velocidad prudente en emergencia
factor_vial,1.35,adimensional,Factor correccion Haversine a ruta real
escuelas_por_comuna,2,centros,Centros candidatos por comuna
mat_min,300,alumnos,Matricula minima para considerar colegio
instancia,configurable_muestra,texto,Tipo de instancia generada
num_comunas,6,comunas,Comunas en la instancia
num_centros,12,centros,Centros de triaje candidatos
seed,123,entero,Semilla aleatoria (si aplica)
