i,k,minutos
1,1,178
1,2,181
1,3,187
2,1,219
2,2,222
2,3,202
3,1,48
3,2,48
3,3,34
4,1,170
4,2,172
4,3,154
5,1,97
5,2,96
5,3,87
6,1,25
6,2,28
6,3,8
