id,nombre,lat,lon,poblacion
1,Cartagena,-33.541423,-71.59692,13542
2,Catemu,-32.772751,-70.959023,5000
3,Concon,-32.933925,-71.522482,28035
4,Nogales,-32.714742,-71.206834,21542
5,Quintero,-32.78462,-71.531581,24683
6,Vina del Mar,-33.016553,-71.532539,334248
