i,g,D_i_g_max
1,leve,13
1,moderado,4
2,leve,4
2,moderado,1
3,leve,26
3,moderado,9
4,leve,20
4,moderado,7
5,leve,23
5,moderado,8
6,leve,309
6,moderado,109
