EstablecimientoCodigoAntiguo,EstablecimientoCodigo,EstablecimientoCodigoMadreAntiguo,EstablecimientoCodigoMadreNuevo,RegionCodigo,RegionGlosa,SeremiSaludCodigo_ServicioDeSaludCodigo,SeremiSaludGlosa_ServicioDeSaludGlosa,TipoPertenenciaEstabGlosa,TipoEstablecimientoGlosa,AmbitoFuncionamiento,EstablecimientoGlosa,Certificacion,DependenciaAdministrativa,NivelAtencionEstabglosa,ComunaCodigo,ComunaGlosa,TipoViaGlosa,Numero,NombreVia,TelefonoMovil_TelefonoFijo,FechaInicioFuncionamientoEstab,TieneServicioUrgencia,TipoUrgencia,ClasificacionTipoSapu,Latitud,Longitud,TipoSistemaSaludGlosa,EstadoFuncionamiento,NivelComplejidadEstabGlosa,TipoAtencionEstabGlosa,FechaIncorporacion,FechaCierre,F_REAPER,F_CAMBIO,TIPO_CAMB,COORD_X,COORD_Y,alias,tipo_estrategia,observacion,nombre_comun,Camas2023,Altitud_m
07-100,107100,,,05,Valparaíso,07,Servicio de Salud Viña del Mar Quillota,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital Dr. Gustavo Fricke (Viña del Mar),Autogestionado en Red (EAR),Servicio de Salud,Terciario,05109,Viña del Mar,Calle,1532,Álvarez,322577571,28-04-2000,SI,Urgencia Hospitalaria (UEH),No Aplica,-33.0294,-71.541725,Público,Vigente en Operación Habitual,Alta Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,558.0,10.0
07-224,107224,,,05,Valparaíso,05,SEREMI de Salud de Valparaíso,No Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital Clínico Viña del Mar,No Aplica,Privado,Terciario,05109,Viña del Mar,Calle,1741,Limache,322323800,01-01-2009,SI,Urgencia Hospitalaria (UEH),No Aplica,-33.029048,-71.539064,Privado,Vigente en Operación Habitual,Alta Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,93.0,12.0
07-200,107200,,,05,Valparaíso,05,SEREMI de Salud de Valparaíso,No Perteneciente al Sistema Nacional de Servicios de Salud,Clínica,Establecimiento de Salud,Clínica Miraflores,No Aplica,Privado,Terciario,05109,Viña del Mar,Calle,276,Los Fresnos,322389900,01-01-2009,SI,Urgencia Hospitalaria (UEH),No Aplica,-33.027116,-71.531387,Privado,Vigente en Operación Habitual,Alta Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,50.0,13.0
07-211,107211,,,05,Valparaíso,05,SEREMI de Salud de Valparaíso,No Perteneciente al Sistema Nacional de Servicios de Salud,Clínica,Establecimiento de Salud,Instituto de Seguridad del Trabajo,No Aplica,Privado,No Aplica,05109,Viña del Mar,Calle,662,Álvarez,322262126,01-01-2009,NO,No Aplica,No Aplica,-33.026528,-71.552858,Privado,Vigente en Operación Habitual,Alta Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,83,12.0
06-104,106104,,,05,Valparaíso,06,Servicio de Salud Valparaíso San Antonio,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital Del Salvador de Valparaíso,No Aplica,Servicio de Salud,Terciario,05101,Valparaíso,Calle,200,Subida Carvallo,322281012,,NO,No Aplica,No Aplica,-33.021285,-71.642513,Público,Vigente en Operación Habitual,Mediana Complejidad,Atención Cerrada-Hospitalaria,,,No Aplica,No Aplica,Sin cambio,253170.928017,6343250.22899,,,,,103.0,7.0
07-223,107223,,,05,Valparaíso,05,SEREMI de Salud de Valparaíso,No Perteneciente al Sistema Nacional de Servicios de Salud,Clínica,Establecimiento de Salud,Clínica Ciudad del Mar (ex AvanSalud),No Aplica,Privado,Terciario,05109,Viña del Mar,Calle,635,13 Norte,322451002,01-01-2009,SI,Urgencia Hospitalaria (UEH),No Aplica,-33.00999,-71.549408,Privado,Vigente en Operación Habitual,Alta Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,109.0,11.0
07-104,107104,,,05,Valparaíso,07,Servicio de Salud Viña del Mar Quillota,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital Santo Tomás (Limache),No Aplica,Servicio de Salud,,05802,Limache,Calle,,Carelmapu,332293801,,SI,Urgencia Hospitalaria (UEH),No Aplica,-32.99864,-71.26843,Público,Vigente en Operación Habitual,Baja Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,57.0,86.0
07-217,107217,,,05,Valparaíso,05,SEREMI de Salud de Valparaíso,No Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital Naval Almirante Neff,No Aplica,Armada de Chile,Terciario,05109,Viña del Mar,Calle,,Subida Alessandri,322573047,01-01-2009,SI,Urgencia Hospitalaria (UEH),No Aplica,-32.998382,-71.54382,Fuerzas Armadas y de Orden,Vigente en Operación Habitual,Alta Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,381.0,63.0
07-110,107110,,,05,Valparaíso,07,Servicio de Salud Viña del Mar Quillota,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital Centro Geriátrico Paz de la Tarde (Limache),No Aplica,Servicio de Salud,,05802,Limache,Calle,198,Caupolicán,332294801,,NO,No Aplica,No Aplica,-32.98786,-71.27724,Público,Vigente en Operación Habitual,Baja Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,64.0,87.0
07-206,107206,,,05,Valparaíso,05,SEREMI de Salud de Valparaíso,No Perteneciente al Sistema Nacional de Servicios de Salud,Clínica,Establecimiento de Salud,Clínica Reñaca,No Aplica,Privado,Terciario,05109,Viña del Mar,Calle,336,"Anabaena, Jardín del Mar",322656000,01-01-2009,SI,Urgencia Hospitalaria (UEH),No Aplica,-32.983582,-71.533631,Privado,Vigente en Operación Habitual,Alta Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,158.0,168.0
