i,j,t,g,a_ijtg
1,82,4,leve,31.0
1,82,4,moderado,11.0
1,82,5,leve,13.0
1,82,5,moderado,11.0
1,82,6,leve,13.0
1,82,6,moderado,11.0
1,82,7,leve,15.5
1,82,7,moderado,10.0
2,3,5,leve,37.0
2,3,5,moderado,13.0
2,3,6,leve,37.0
2,3,6,moderado,13.0
2,3,7,leve,37.0
2,3,7,moderado,13.0
3,5,5,leve,30.0
3,5,5,moderado,11.0
3,5,6,leve,30.0
3,6,5,leve,20.0
3,6,5,moderado,11.0
3,6,6,leve,30.0
3,6,6,moderado,4.0
3,6,7,leve,11.0
3,6,7,moderado,3.0
3,24,3,moderado,11.0
3,24,4,moderado,2.0
4,7,2,moderado,2.0
4,7,3,moderado,9.0
4,7,4,moderado,9.0
4,7,5,leve,20.0
4,7,5,moderado,9.0
4,7,6,moderado,3.0
4,7,7,leve,24.0
4,7,7,moderado,3.0
5,10,5,leve,20.0
5,10,5,moderado,7.0
5,10,6,leve,20.0
5,10,6,moderado,3.0
5,10,7,leve,20.0
5,10,7,moderado,2.0
5,81,3,moderado,7.0
5,81,4,moderado,7.0
5,81,5,leve,20.0
5,81,5,moderado,3.0
6,80,5,leve,35.0
6,80,5,moderado,12.0
6,80,6,leve,35.0
6,80,6,moderado,12.0
6,80,7,leve,35.0
6,80,7,moderado,12.0
7,13,5,leve,21.0
7,13,5,moderado,7.0
7,13,6,leve,21.0
7,13,6,moderado,7.0
7,14,5,leve,21.0
7,14,5,moderado,7.0
7,14,6,leve,12.0
7,14,6,moderado,6.0
7,14,7,leve,7.0
7,14,7,moderado,2.0
8,72,1,moderado,15.0
8,72,2,moderado,12.0
8,72,3,moderado,1.0
8,72,4,moderado,15.0
8,72,5,moderado,6.0
8,72,6,moderado,6.0
8,72,7,moderado,4.0
9,82,4,leve,9.0
9,82,4,moderado,9.0
9,82,5,leve,27.0
9,82,5,moderado,9.0
9,82,6,leve,27.0
9,82,6,moderado,9.0
9,82,7,leve,27.0
9,82,7,moderado,9.0
10,10,5,leve,21.0
10,10,5,moderado,7.0
10,10,6,leve,21.0
10,10,6,moderado,3.0
10,10,7,leve,21.0
10,10,7,moderado,2.0
10,81,3,moderado,7.0
10,81,4,moderado,7.0
10,81,5,leve,21.0
10,81,5,moderado,4.0
11,5,5,leve,29.0
11,5,5,moderado,10.0
11,5,6,leve,29.0
11,5,6,moderado,10.0
11,5,7,moderado,4.0
11,6,5,leve,20.0
11,6,5,moderado,10.0
11,6,6,leve,29.0
11,6,6,moderado,7.0
11,6,7,leve,9.0
12,5,5,leve,37.0
12,5,5,moderado,13.0
12,5,6,leve,37.0
12,6,5,leve,26.0
12,6,5,moderado,13.0
12,6,6,leve,37.0
12,6,6,moderado,5.0
12,6,7,leve,12.0
12,6,7,moderado,4.0
12,24,3,moderado,13.0
12,24,4,moderado,5.0
13,26,5,leve,44.0
13,26,5,moderado,15.0
13,26,6,leve,44.0
13,26,6,moderado,15.0
13,26,7,leve,44.0
13,26,7,moderado,15.0
14,84,5,leve,52.5
14,84,5,moderado,11.0
14,84,6,leve,52.5
14,84,6,moderado,11.0
14,84,7,leve,32.0
14,84,7,moderado,9.0
14,85,2,moderado,26.0
14,85,3,moderado,26.0
14,85,4,moderado,26.0
15,13,5,leve,38.0
15,13,5,moderado,14.0
15,13,6,leve,38.0
15,13,6,moderado,14.0
15,13,7,leve,12.0
15,13,7,moderado,4.0
15,14,5,leve,38.0
15,14,5,moderado,14.0
15,14,6,leve,27.0
15,14,6,moderado,8.0
16,7,2,moderado,31.0
16,7,3,moderado,34.0
16,7,4,moderado,34.0
16,7,5,moderado,24.0
16,7,6,leve,60.0
16,7,6,moderado,15.0
16,7,7,leve,46.0
16,7,7,moderado,12.0
17,5,5,leve,1.5
17,5,5,moderado,11.0
17,5,6,leve,32.0
17,5,6,moderado,11.0
17,6,5,leve,31.5
17,6,5,moderado,11.0
17,6,6,leve,32.0
17,6,6,moderado,8.0
17,6,7,leve,32.0
17,6,7,moderado,4.0
18,84,5,moderado,4.0
18,84,6,moderado,4.0
18,84,7,leve,28.0
18,84,7,moderado,3.0
18,85,2,moderado,10.0
18,85,3,moderado,10.0
18,85,4,leve,5.0
18,85,4,moderado,8.0
19,37,2,moderado,4.0
19,37,3,moderado,4.0
19,37,4,moderado,1.0
19,37,5,leve,11.0
19,37,5,moderado,4.0
19,37,6,moderado,1.0
19,37,7,moderado,1.0
22,42,5,leve,29.0
22,42,5,moderado,10.0
22,42,6,leve,29.0
22,42,6,moderado,10.0
22,42,7,leve,29.0
