i,j,t,g,a_ijtg
29,60,7,leve,30.0
30,57,5,leve,77.5
30,57,5,moderado,14.2
30,57,6,leve,126.0
30,57,6,moderado,9.2
30,57,7,leve,126.0
30,57,7,moderado,14.0
30,60,1,moderado,26.0
30,60,2,moderado,13.0
30,60,3,moderado,44.0
30,60,4,moderado,44.0
30,60,5,moderado,3.8
30,60,6,leve,6.5
30,60,6,moderado,8.8
30,60,7,leve,46.5
31,57,6,leve,23.0
31,57,7,leve,23.0
31,57,7,moderado,3.0
31,60,1,moderado,6.0
31,60,2,moderado,8.0
31,60,3,moderado,1.0
31,60,4,moderado,8.0
31,60,5,moderado,3.0
31,60,6,moderado,3.0
32,62,5,moderado,4.0
32,62,6,moderado,1.0
32,62,7,moderado,1.0
32,81,3,moderado,4.0
32,81,4,moderado,4.0
33,47,2,moderado,97.2
33,63,4,moderado,149.0
33,63,5,leve,60.5
33,63,5,moderado,95.8
33,63,6,moderado,60.0
33,63,7,moderado,3.6
33,68,3,moderado,149.0
33,68,6,leve,426.0
33,68,7,leve,138.0
33,68,7,moderado,44.4
34,47,4,moderado,14.8
34,48,4,moderado,69.0
34,48,6,leve,196.0
34,48,6,moderado,27.0
34,48,7,moderado,22.0
34,76,5,moderado,49.0
34,85,1,moderado,69.0
34,85,2,moderado,24.2
35,47,3,moderado,176.0
35,47,4,moderado,138.2
35,48,4,moderado,36.2
35,48,5,moderado,103.6
35,48,6,moderado,42.4
35,48,7,moderado,50.0
35,63,4,moderado,31.0
35,63,6,leve,330.0
35,63,7,leve,501.0
35,68,4,moderado,93.0
35,68,6,moderado,27.6
35,68,7,moderado,6.0
