t,centros_activos,equipos_totales,pacientes_atendidos,espera_leve,espera_moderado,graves_hospital,graves_pma
1,4,24,288,2688,654,403,0
2,8,40,480,4839,932,321,0
3,11,69,884,6352,717,244,0
4,19,97,1339,7212,264,196,0
5,21,116,2590,6150,190,165,0
6,21,130,3002,4650,135,161,0
7,19,140,3454,2401,92,124,0
