t,centros_activos,equipos_totales,pacientes_atendidos,espera_leve,espera_moderado,graves_hospital,graves_pma
1,3,24,288,2688,654,403,0
2,7,40,480,4839,932,321,0
3,12,69,880,6360,714,244,0
4,15,97,1241,7420,158,196,0
5,18,116,2624,6304,104,165,0
6,16,130,3038,4751,66,161,0
7,15,140,3512,2425,42,124,0
