i,j,t,g,a_ijtg
1,20,1,moderado,9.0
1,20,2,moderado,11.0
1,20,3,moderado,7.0
1,20,4,moderado,5.0
1,20,5,leve,31.0
1,20,5,moderado,4.0
1,20,6,leve,24.5
1,82,5,leve,31.0
1,82,6,leve,14.5
1,82,6,moderado,4.0
1,82,7,leve,22.0
1,82,7,moderado,3.0
2,3,4,leve,37.0
2,3,4,moderado,13.0
2,3,5,leve,37.0
2,3,5,moderado,13.0
2,3,6,leve,37.0
2,3,6,moderado,13.0
2,3,7,leve,36.0
2,3,7,moderado,13.0
3,5,2,moderado,11.0
3,5,3,moderado,9.0
3,5,4,moderado,11.0
3,22,5,moderado,4.0
3,22,6,leve,30.0
3,22,6,moderado,4.0
3,22,7,moderado,3.0
4,59,2,moderado,9.0
4,59,3,moderado,9.0
4,59,4,moderado,7.0
4,59,5,leve,24.0
4,59,5,moderado,4.0
4,59,6,leve,24.0
4,59,6,moderado,3.0
4,59,7,leve,24.0
4,59,7,moderado,3.0
5,20,2,moderado,7.0
5,20,3,moderado,7.0
5,20,4,moderado,4.0
5,20,5,leve,20.0
5,20,5,moderado,3.0
5,20,6,moderado,3.0
5,20,7,leve,1.0
5,20,7,moderado,2.0
5,54,5,leve,20.0
5,54,6,leve,20.0
5,54,7,leve,20.0
5,81,3,moderado,3.0
6,80,4,leve,35.0
6,80,4,moderado,12.0
6,80,5,leve,35.0
6,80,5,moderado,12.0
6,80,6,leve,35.0
6,80,6,moderado,12.0
6,80,7,leve,35.0
6,80,7,moderado,12.0
7,13,3,leve,21.0
7,13,3,moderado,7.0
7,13,4,leve,21.0
7,13,4,moderado,7.0
7,13,5,leve,21.0
7,13,5,moderado,7.0
7,13,6,leve,12.0
7,13,6,moderado,6.0
8,15,4,moderado,4.0
8,15,7,leve,42.0
8,15,7,moderado,4.0
8,47,6,leve,42.0
8,67,2,moderado,15.0
8,67,3,moderado,9.0
8,67,4,moderado,15.0
8,68,5,moderado,6.0
8,68,6,moderado,6.0
9,20,1,moderado,9.0
9,20,2,moderado,5.0
9,20,3,moderado,9.0
9,20,4,moderado,4.0
9,20,5,leve,3.5
9,20,5,moderado,2.6
9,20,6,leve,23.5
9,82,5,leve,27.0
9,82,5,moderado,1.4
9,82,6,leve,27.0
9,82,6,moderado,4.0
9,82,7,leve,27.0
9,82,7,moderado,3.0
10,20,2,moderado,1.0
10,20,3,moderado,7.0
10,20,4,moderado,7.0
10,20,6,leve,21.0
10,81,2,moderado,7.0
10,82,5,leve,21.0
10,82,5,moderado,3.0
10,82,6,leve,21.0
10,82,6,moderado,3.0
10,82,7,leve,21.0
10,82,7,moderado,2.0
11,5,2,moderado,9.0
11,5,3,moderado,10.0
11,5,4,moderado,10.0
11,22,5,leve,29.0
11,22,5,moderado,4.0
11,22,6,leve,29.0
11,22,6,moderado,4.0
11,22,7,leve,29.0
11,22,7,moderado,4.0
12,5,2,moderado,13.0
12,5,3,moderado,13.0
12,5,4,moderado,13.0
12,22,5,moderado,5.0
12,22,6,leve,37.0
12,22,6,moderado,5.0
12,22,7,leve,37.0
12,22,7,moderado,4.0
13,26,4,leve,44.0
13,26,4,moderado,15.0
13,26,5,leve,44.0
13,26,5,moderado,15.0
13,26,6,leve,44.0
13,26,6,moderado,15.0
13,26,7,leve,42.0
13,26,7,moderado,15.0
14,27,4,moderado,25.0
14,27,5,leve,51.0
14,27,6,leve,34.0
14,27,6,moderado,11.0
14,27,7,leve,45.5
14,27,7,moderado,9.0
14,76,4,moderado,27.0
14,76,5,leve,26.0
14,76,5,moderado,11.0
14,84,4,moderado,26.0
15,13,3,leve,38.0
15,13,3,moderado,14.0
15,13,4,leve,38.0
15,13,4,moderado,14.0
15,13,5,leve,38.0
15,13,5,moderado,14.0
15,13,6,leve,27.0
15,13,6,moderado,8.0
16,59,1,moderado,37.0
16,59,2,moderado,12.0
16,59,3,moderado,37.0
16,59,4,moderado,21.0
16,59,5,leve,107.0
16,59,5,moderado,16.0
16,59,6,leve,107.0
16,59,6,moderado,15.0
16,59,7,leve,107.0
16,59,7,moderado,12.0
17,5,2,moderado,11.0
17,5,3,moderado,10.0
17,5,4,moderado,11.0
17,22,5,leve,23.5
17,22,5,moderado,5.0
17,22,6,leve,7.94
17,22,6,moderado,4.0
17,22,7,leve,32.0
17,22,7,moderado,4.0
18,27,4,moderado,8.0
18,27,5,moderado,4.0
18,27,6,moderado,4.0
18,27,7,moderado,3.0
18,84,3,moderado,10.0
18,84,4,moderado,10.0
19,59,2,moderado,3.0
19,59,3,moderado,4.0
19,59,4,moderado,4.0
19,59,5,moderado,2.0
19,59,6,moderado,1.0
19,59,7,moderado,1.0
20,38,5,leve,8.0
20,38,5,moderado,3.0
20,38,6,leve,8.0
20,38,6,moderado,3.0
20,38,7,leve,8.0
20,38,7,moderado,3.0
22,78,3,leve,29.0
22,78,3,moderado,10.0
22,78,4,leve,29.0
22,78,4,moderado,10.0
22,78,5,moderado,10.0
22,78,6,leve,13.0
22,78,6,moderado,7.0
22,78,7,leve,29.0
22,78,7,moderado,4.0
23,59,2,moderado,6.0
23,59,3,moderado,6.0
23,59,4,moderado,6.0
23,59,5,moderado,3.0
23,59,6,leve,10.5
23,59,6,moderado,3.0
23,59,7,moderado,2.0
24,5,2,moderado,40.0
