i,j,t,g,a_ijtg
1,20,2,moderado,10.0
1,20,3,moderado,11.0
1,20,4,moderado,11.0
1,20,5,moderado,4.0
1,20,6,leve,7.0
1,20,6,moderado,4.0
1,20,7,leve,31.0
1,20,7,moderado,3.0
2,4,5,leve,37.0
2,4,5,moderado,13.0
2,4,6,leve,37.0
2,4,6,moderado,13.0
2,4,7,leve,37.0
2,4,7,moderado,13.0
3,6,2,moderado,11.0
3,6,3,moderado,9.0
3,6,4,moderado,11.0
3,21,5,moderado,4.0
3,21,6,leve,11.0
3,21,6,moderado,4.0
3,21,7,leve,7.5
3,21,7,moderado,3.0
4,59,2,moderado,9.0
4,59,3,moderado,7.0
4,59,4,moderado,9.0
4,59,5,moderado,4.0
4,59,6,moderado,3.0
4,59,7,moderado,3.0
5,20,2,moderado,7.0
5,20,3,moderado,3.0
5,20,4,moderado,7.0
5,20,5,leve,4.0
5,20,6,moderado,3.0
5,62,5,leve,20.0
5,62,5,moderado,7.0
5,62,6,leve,7.5
5,62,7,leve,11.5
5,62,7,moderado,2.0
6,80,5,leve,35.0
6,80,5,moderado,12.0
6,80,6,leve,35.0
6,80,6,moderado,12.0
6,80,7,leve,35.0
6,80,7,moderado,12.0
7,13,5,leve,21.0
7,13,5,moderado,7.0
7,13,6,leve,12.0
7,13,6,moderado,7.0
7,13,7,leve,7.0
7,14,5,leve,21.0
7,14,5,moderado,7.0
7,14,6,leve,21.0
7,14,6,moderado,6.0
7,14,7,moderado,2.0
8,67,6,moderado,6.0
8,68,3,moderado,7.0
8,68,4,moderado,15.0
8,68,5,moderado,15.0
8,68,6,leve,42.0
8,68,7,leve,42.0
8,68,7,moderado,4.0
8,72,3,moderado,12.0
9,20,2,moderado,4.0
9,20,3,moderado,9.0
9,20,4,moderado,9.0
9,20,5,moderado,9.0
9,20,6,leve,27.0
9,20,6,moderado,4.0
9,20,7,leve,27.0
9,20,7,moderado,3.0
10,20,2,moderado,7.0
10,20,3,moderado,4.0
10,20,4,moderado,7.0
10,20,5,moderado,7.0
10,20,6,moderado,3.0
10,20,7,moderado,2.0
11,6,2,moderado,9.0
11,6,3,moderado,10.0
11,6,4,moderado,4.0
11,21,5,moderado,10.0
11,21,6,moderado,4.0
11,21,7,leve,29.0
11,21,7,moderado,4.0
12,6,2,moderado,13.0
12,6,3,moderado,13.0
12,6,4,moderado,13.0
12,21,5,moderado,5.0
12,21,6,moderado,5.0
12,21,7,leve,37.0
12,21,7,moderado,4.0
13,26,5,leve,44.0
13,26,5,moderado,15.0
13,26,6,leve,44.0
13,26,6,moderado,15.0
13,26,7,leve,44.0
13,26,7,moderado,15.0
14,27,4,moderado,27.0
14,27,5,moderado,27.0
14,27,6,moderado,5.4
14,85,4,moderado,8.0
14,85,5,moderado,27.0
14,85,6,moderado,5.6
14,85,7,leve,65.0
14,85,7,moderado,9.0
15,13,5,leve,38.0
15,13,5,moderado,14.0
15,13,6,leve,27.0
15,13,6,moderado,8.0
15,13,7,leve,12.0
15,14,5,leve,38.0
15,14,5,moderado,14.0
15,14,6,leve,38.0
15,14,6,moderado,14.0
15,14,7,moderado,4.0
16,59,2,moderado,37.0
16,59,3,moderado,34.0
16,59,4,moderado,37.0
16,59,5,moderado,15.0
16,59,6,moderado,15.0
16,59,7,leve,107.0
16,59,7,moderado,12.0
17,6,2,moderado,10.0
17,6,3,moderado,11.0
17,6,4,moderado,11.0
17,21,5,moderado,5.0
17,21,6,moderado,4.0
17,21,7,leve,32.0
17,21,7,moderado,4.0
18,27,4,moderado,10.0
18,27,5,moderado,10.0
18,27,6,moderado,4.0
18,85,4,moderado,3.0
18,85,5,moderado,9.0
18,85,7,moderado,3.0
19,37,3,moderado,4.0
19,37,4,moderado,3.0
19,59,2,moderado,4.0
19,59,5,moderado,2.0
19,59,6,moderado,1.0
19,59,7,moderado,1.0
22,78,3,leve,29.0
22,78,3,moderado,10.0
22,78,4,leve,29.0
22,78,4,moderado,10.0
22,78,5,moderado,10.0
22,78,6,leve,29.0
22,78,6,moderado,7.0
22,78,7,leve,29.0
22,78,7,moderado,4.0
23,37,4,moderado,6.0
23,37,5,leve,5.5
23,37,5,moderado,6.0
23,59,4,moderado,6.0
23,59,5,leve,19.0
23,59,5,moderado,3.0
23,59,6,moderado,3.0
23,59,7,moderado,2.0
24,6,2,moderado,41.0
24,6,3,moderado,41.0
24,6,4,moderado,45.0
24,21,5,leve,43.5
24,21,5,moderado,42.6
24,21,6,leve,147.0
24,21,6,moderado,15.8
24,21,7,leve,147.0
24,21,7,moderado,16.0
24,27,5,moderado,0.4
24,27,6,moderado,5.2
25,67,4,moderado,87.0
25,67,5,leve,83.0
25,67,5,moderado,90.0
25,67,6,leve,256.0
25,68,3,moderado,90.0
25,68,5,leve,256.0
25,68,5,moderado,2.6
25,68,6,leve,172.0
25,68,6,moderado,36.0
25,68,7,leve,256.0
25,68,7,moderado,28.0
25,72,4,moderado,14.8
25,83,3,moderado,10.6
26,78,3,leve,3.5
26,78,3,moderado,13.0
26,78,4,leve,3.5
26,78,4,moderado,13.0
26,78,5,leve,32.5
26,78,5,moderado,13.0
26,78,6,leve,21.0
26,78,6,moderado,9.0
26,78,7,leve,37.0
26,78,7,moderado,4.0
27,37,3,moderado,6.0
27,37,5,moderado,3.0
27,59,2,moderado,6.0
27,59,3,moderado,1.0
27,59,4,moderado,5.0
27,59,6,moderado,2.0
27,59,7,moderado,2.0
28,20,2,moderado,8.0
28,20,3,moderado,9.0
28,20,4,moderado,2.0
28,20,5,leve,1.0
28,20,5,moderado,26.0
28,20,6,moderado,8.4
28,20,7,leve,132.0
28,62,3,moderado,44.0
28,62,4,moderado,44.0
28,62,5,moderado,29.0
28,62,6,leve,141.0
28,62,6,moderado,11.6
28,62,7,leve,141.0
28,62,7,moderado,16.0
29,59,2,moderado,9.0
29,59,3,moderado,11.0
29,59,4,moderado,11.0
29,59,5,moderado,4.0
29,59,6,moderado,4.0
29,59,7,moderado,3.0
30,37,3,moderado,35.0
30,37,4,moderado,39.0
30,37,5,leve,2.0
30,37,5,moderado,28.0
30,59,3,moderado,31.0
30,59,4,moderado,4.0
30,59,5,leve,51.0
30,59,5,moderado,8.0
30,59,6,leve,117.5
30,59,6,moderado,18.0
30,59,7,leve,3.0
30,59,7,moderado,14.0
31,37,3,moderado,3.0
31,37,5,moderado,8.0
31,59,2,moderado,7.0
31,59,5,moderado,8.0
31,59,6,moderado,3.0
31,59,7,moderado,3.0
32,62,3,moderado,4.0
32,62,4,moderado,4.0
32,62,5,moderado,4.0
32,62,6,moderado,1.0
32,62,7,leve,10.0
32,62,7,moderado,1.0
33,64,3,moderado,96.0
33,64,4,moderado,96.0
33,67,5,moderado,101.8
33,67,6,moderado,24.0
33,68,3,moderado,35.0
33,68,4,moderado,93.0
33,68,7,leve,421.0
33,68,7,moderado,48.0
33,72,4,moderado,33.2
33,72,6,moderado,36.0
33,73,4,moderado,36.0
34,27,4,moderado,47.0
34,27,5,moderado,46.6
34,27,6,leve,196.0
34,27,6,moderado,27.0
34,83,1,moderado,69.0
34,83,2,moderado,36.0
34,83,3,moderado,2.4
34,85,4,moderado,25.0
34,85,6,leve,196.0
34,85,7,moderado,22.0
35,64,2,moderado,156.0
35,67,4,moderado,117.0
35,67,5,moderado,3.0
35,67,6,moderado,47.6
35,68,6,moderado,22.4
35,68,7,leve,501.0
