t,centros_activos,equipos_totales,pacientes_atendidos,espera_leve,espera_moderado,graves_hospital,graves_pma
1,1,19,228,2688,714,403,0
2,5,32,384,4839,1088,321,0
3,10,55,680,6418,1011,244,0
4,13,78,956,7677,543,196,0
5,17,93,1502,8000,172,165,0
6,16,104,2281,7218,120,161,0
7,12,112,2523,5880,97,124,0
