t,centros_activos,equipos_totales,pacientes_atendidos,espera_leve,espera_moderado,graves_hospital,graves_pma
1,2,24,288,2688,654,403,0
2,6,40,480,4839,932,321,0
3,11,69,884,6352,717,244,0
4,18,97,1339,7212,264,196,0
5,22,116,2527,6220,183,165,0
6,20,130,2938,4790,121,161,0
7,19,140,3392,2611,71,124,0
