t,centros_activos,equipos_totales,pacientes_atendidos,espera_leve,espera_moderado,graves_hospital,graves_pma
1,4,28,336,2688,606,403,0
2,8,48,596,4806,801,321,0
3,10,82,1036,6327,427,244,0
4,18,117,2174,6198,128,196,0
5,20,139,3241,4455,84,165,0
6,19,156,3731,2208,47,161,0
7,17,168,3384,21,12,124,0
