j,t,z_jt,v_jt,c_jt,p_jt
54,6,0,0,0,0
54,7,0,0,0,0
55,1,0,0,0,0
55,2,0,0,0,0
55,3,1,1,0,4
55,4,1,0,0,14
55,5,1,0,0,6
55,6,0,0,1,0
55,7,0,0,0,0
56,1,0,0,0,0
56,2,0,0,0,0
56,3,0,0,0,0
56,4,0,0,0,0
56,5,0,0,0,0
56,6,0,0,0,0
56,7,0,0,0,0
57,1,0,0,0,0
57,2,0,0,0,0
57,3,0,0,0,0
57,4,0,0,0,0
57,5,0,0,0,0
57,6,0,0,0,0
57,7,0,0,0,0
58,1,0,0,0,0
58,2,0,0,0,0
58,3,0,0,0,0
58,4,0,0,0,0
58,5,0,0,0,0
58,6,0,0,0,0
58,7,0,0,0,0
59,1,0,0,0,0
59,2,0,0,0,0
59,3,0,0,0,0
59,4,0,0,0,0
59,5,0,0,0,0
59,6,0,0,0,0
59,7,0,0,0,0
60,1,0,0,0,0
60,2,0,0,0,0
60,3,0,0,0,0
60,4,1,1,0,6
60,5,1,0,0,8
60,6,1,0,0,16
60,7,1,0,0,18
61,1,0,0,0,0
61,2,0,0,0,0
61,3,0,0,0,0
61,4,1,1,0,8
61,5,1,0,0,8
61,6,1,0,0,8
61,7,1,0,0,8
62,1,0,0,0,0
62,2,0,0,0,0
62,3,0,0,0,0
62,4,0,0,0,0
62,5,0,0,0,0
62,6,0,0,0,0
62,7,0,0,0,0
63,1,0,0,0,0
63,2,0,0,0,0
63,3,0,0,0,0
63,4,0,0,0,0
63,5,1,1,0,10
63,6,1,0,0,19
63,7,1,0,0,17
64,1,0,0,0,0
64,2,0,0,0,0
64,3,0,0,0,0
64,4,0,0,0,0
64,5,0,0,0,0
64,6,0,0,0,0
64,7,0,0,0,0
65,1,0,0,0,0
65,2,0,0,0,0
65,3,0,0,0,0
65,4,0,0,0,0
65,5,0,0,0,0
65,6,0,0,0,0
65,7,0,0,0,0
66,1,0,0,0,0
66,2,0,0,0,0
66,3,0,0,0,0
66,4,0,0,0,0
66,5,0,0,0,0
66,6,0,0,0,0
66,7,0,0,0,0
67,1,0,0,0,0
67,2,0,0,0,0
67,3,0,0,0,0
67,4,0,0,0,0
67,5,0,0,0,0
67,6,0,0,0,0
67,7,0,0,0,0
68,1,0,0,0,0
68,2,0,0,0,0
68,3,0,0,0,0
68,4,0,0,0,0
68,5,0,0,0,0
68,6,0,0,0,0
68,7,0,0,0,0
69,1,0,0,0,0
69,2,0,0,0,0
69,3,0,0,0,0
69,4,0,0,0,0
69,5,0,0,0,0
69,6,0,0,0,0
69,7,0,0,0,0
70,1,0,0,0,0
70,2,0,0,0,0
70,3,0,0,0,0
70,4,1,1,0,4
70,5,1,0,0,4
70,6,1,0,0,4
70,7,1,0,0,4
71,1,0,0,0,0
71,2,0,0,0,0
71,3,0,0,0,0
71,4,0,0,0,0
71,5,0,0,0,0
71,6,0,0,0,0
71,7,0,0,0,0
72,1,0,0,0,0
72,2,0,0,0,0
72,3,0,0,0,0
72,4,0,0,0,0
72,5,0,0,0,0
72,6,0,0,0,0
72,7,0,0,0,0
73,1,0,0,0,0
73,2,0,0,0,0
73,3,0,0,0,0
73,4,0,0,0,0
73,5,0,0,0,0
73,6,0,0,0,0
73,7,0,0,0,0
74,1,0,0,0,0
74,2,0,0,0,0
74,3,0,0,0,0
74,4,0,0,0,0
74,5,0,0,0,0
74,6,0,0,0,0
74,7,0,0,0,0
75,1,0,0,0,0
75,2,0,0,0,0
75,3,0,0,0,0
75,4,0,0,0,0
75,5,0,0,0,0
75,6,0,0,0,0
75,7,0,0,0,0
76,1,0,0,0,0
76,2,0,0,0,0
76,3,0,0,0,0
76,4,1,1,0,6
76,5,1,0,0,27
76,6,1,0,0,16
76,7,1,0,0,10
77,1,0,0,0,0
77,2,0,0,0,0
77,3,0,0,0,0
77,4,0,0,0,0
77,5,0,0,0,0
77,6,0,0,0,0
77,7,0,0,0,0
78,1,0,0,0,0
78,2,1,1,0,3
78,3,1,0,0,3
78,4,1,0,0,4
78,5,0,0,1,0
78,6,0,0,0,0
78,7,0,0,0,0
79,1,0,0,0,0
79,2,0,0,0,0
79,3,0,0,0,0
79,4,0,0,0,0
79,5,0,0,0,0
79,6,0,0,0,0
79,7,0,0,0,0
80,1,0,0,0,0
80,2,0,0,0,0
80,3,0,0,0,0
80,4,1,1,0,3
80,5,1,0,0,3
80,6,1,0,0,3
80,7,1,0,0,3
81,1,0,0,0,0
81,2,0,0,0,0
81,3,0,0,0,0
81,4,0,0,0,0
81,5,0,0,0,0
81,6,0,0,0,0
81,7,0,0,0,0
82,1,0,0,0,0
82,2,0,0,0,0
82,3,0,0,0,0
82,4,0,0,0,0
82,5,0,0,0,0
82,6,0,0,0,0
82,7,0,0,0,0
83,1,1,1,0,5
83,2,1,0,0,24
83,3,1,0,0,29
83,4,0,0,1,0
83,5,0,0,0,0
83,6,0,0,0,0
83,7,0,0,0,0
84,1,0,0,0,0
84,2,0,0,0,0
84,3,0,0,0,0
84,4,0,0,0,0
84,5,0,0,0,0
84,6,0,0,0,0
84,7,0,0,0,0
85,1,0,0,0,0
85,2,0,0,0,0
85,3,0,0,0,0
85,4,0,0,0,0
85,5,0,0,0,0
85,6,0,0,0,0
85,7,0,0,0,0
