t,centros_activos,equipos_totales,pacientes_atendidos,espera_leve,espera_moderado,graves_hospital,graves_pma
1,3,28,336,2688,606,403,0
2,6,48,576,4839,788,321,0
3,8,82,984,6451,374,244,0
4,15,117,2334,6156,81,196,0
5,18,139,3385,4265,41,165,0
6,17,156,3776,1950,27,161,0
7,15,158,3107,21,11,124,0
