i,j,t,g,a_ijtg
1,20,1,moderado,3.0
1,20,2,moderado,11.0
1,20,4,moderado,11.0
1,20,5,leve,25.0
1,20,5,moderado,11.0
1,20,6,moderado,4.0
1,20,7,moderado,3.0
2,3,4,leve,37.0
2,3,4,moderado,13.0
2,3,5,leve,35.0
2,3,5,moderado,13.0
2,3,6,leve,37.0
2,4,5,leve,6.0
2,4,5,moderado,13.0
2,4,6,leve,20.0
2,4,6,moderado,9.0
2,4,7,leve,12.0
2,4,7,moderado,4.0
3,21,2,moderado,6.0
3,21,3,moderado,7.0
3,21,4,moderado,11.0
3,21,6,moderado,4.0
3,22,5,moderado,11.0
3,22,7,leve,19.5
3,22,7,moderado,3.0
4,59,1,moderado,3.0
4,59,2,moderado,9.0
4,59,3,moderado,9.0
4,59,4,moderado,4.0
4,59,5,moderado,4.0
4,59,6,moderado,3.0
4,59,7,moderado,3.0
5,20,2,moderado,7.0
5,20,5,moderado,7.0
5,20,6,moderado,3.0
5,20,7,moderado,2.0
5,81,4,moderado,3.0
5,81,5,moderado,7.0
6,80,5,leve,35.0
6,80,5,moderado,12.0
6,80,6,leve,35.0
6,80,6,moderado,12.0
6,80,7,leve,35.0
6,80,7,moderado,12.0
7,21,2,moderado,7.0
7,21,4,moderado,7.0
7,21,5,moderado,7.0
7,21,6,moderado,3.0
7,22,5,moderado,3.0
7,22,6,leve,13.0
7,22,7,moderado,2.0
8,15,7,moderado,4.0
8,71,4,moderado,4.0
8,78,3,moderado,15.0
8,78,4,moderado,15.0
8,78,5,moderado,15.0
8,78,6,leve,9.0
8,78,6,moderado,6.0
9,20,2,moderado,9.0
9,20,6,moderado,4.0
9,20,7,leve,1.5
9,20,7,moderado,3.0
9,81,3,moderado,9.0
9,81,4,moderado,9.0
9,81,5,moderado,4.0
10,20,2,moderado,7.0
10,20,4,moderado,7.0
10,20,5,moderado,3.0
10,20,6,leve,2.5
10,20,6,moderado,3.0
10,20,7,leve,21.0
10,20,7,moderado,2.0
10,81,3,moderado,1.0
10,81,4,moderado,7.0
11,21,2,moderado,6.0
11,21,4,moderado,10.0
11,21,5,moderado,7.0
11,21,6,moderado,4.0
11,21,7,leve,29.0
11,22,5,moderado,10.0
11,22,7,leve,29.0
11,24,7,leve,29.0
11,24,7,moderado,4.0
12,21,2,moderado,13.0
12,21,4,moderado,13.0
12,21,5,leve,37.0
12,21,5,moderado,5.0
12,21,7,leve,37.0
12,21,7,moderado,4.0
12,24,6,moderado,5.0
12,28,2,moderado,7.0
12,28,4,moderado,6.0
13,3,4,leve,13.0
13,3,4,moderado,15.0
13,3,5,leve,15.0
13,3,5,moderado,15.0
13,3,6,leve,44.0
13,3,6,moderado,11.0
13,4,5,leve,44.0
13,4,5,moderado,15.0
13,4,6,leve,44.0
13,4,7,leve,14.0
13,4,7,moderado,5.0
14,24,7,moderado,9.0
14,28,2,moderado,12.0
14,28,4,moderado,27.0
14,79,4,moderado,27.0
14,79,5,moderado,18.0
14,79,6,moderado,11.0
14,84,2,moderado,5.0
15,21,2,moderado,3.0
15,21,3,moderado,14.0
15,21,4,moderado,14.0
15,21,5,moderado,14.0
15,21,7,leve,38.0
15,21,7,moderado,3.6
15,22,6,leve,38.0
15,22,6,moderado,5.0
15,22,7,leve,38.0
15,22,7,moderado,0.4
16,59,1,moderado,28.0
16,59,2,moderado,17.0
16,59,3,moderado,22.0
16,59,4,moderado,37.0
16,59,5,moderado,19.0
16,59,6,moderado,15.0
16,59,7,moderado,12.0
17,21,2,moderado,10.0
17,21,3,moderado,11.0
17,21,4,moderado,11.0
17,21,6,leve,32.0
17,21,6,moderado,4.0
17,22,5,moderado,5.0
17,22,7,moderado,4.0
18,24,5,moderado,10.0
18,24,7,moderado,3.0
18,28,2,moderado,2.0
18,28,4,moderado,10.0
18,76,6,leve,28.0
18,76,6,moderado,4.0
18,76,7,leve,28.0
18,84,2,moderado,10.0
19,59,1,moderado,3.0
19,59,2,moderado,4.0
19,59,3,moderado,2.0
19,59,5,moderado,4.0
19,59,6,leve,11.0
19,59,6,moderado,1.0
19,59,7,leve,11.0
19,59,7,moderado,1.0
20,70,5,leve,8.0
20,70,5,moderado,3.0
20,70,6,leve,8.0
20,70,6,moderado,3.0
20,70,7,leve,8.0
20,70,7,moderado,3.0
22,70,5,leve,29.0
22,70,5,moderado,10.0
22,70,6,leve,29.0
22,70,6,moderado,4.0
22,70,7,leve,29.0
22,70,7,moderado,4.0
22,78,3,moderado,8.0
22,78,4,moderado,8.0
22,78,5,moderado,7.0
22,78,6,leve,29.0
23,59,1,moderado,5.0
23,59,2,moderado,6.0
23,59,3,moderado,1.0
23,59,4,moderado,6.0
23,59,5,moderado,3.0
23,59,6,moderado,3.0
23,59,7,moderado,2.0
24,21,2,moderado,39.0
24,21,3,moderado,52.0
24,21,4,moderado,18.0
24,21,5,leve,90.5
24,21,6,leve,140.5
24,21,7,leve,147.0
24,22,5,leve,77.5
24,22,6,leve,34.0
24,22,6,moderado,21.0
24,22,7,moderado,16.0
24,24,5,moderado,26.0
24,24,6,leve,77.5
24,24,7,leve,21.0
