i,j,t,g,a_ijtg
1,19,5,leve,30.0
1,19,5,moderado,4.0
1,19,6,leve,31.0
1,19,6,moderado,4.0
1,19,7,leve,31.0
1,19,7,moderado,3.0
1,20,1,moderado,10.0
1,20,3,moderado,11.0
1,20,4,moderado,11.0
1,20,6,leve,31.0
2,4,3,leve,6.0
2,4,3,moderado,13.0
2,4,4,leve,30.0
2,4,4,moderado,13.0
2,4,5,leve,37.0
2,4,5,moderado,13.0
2,4,6,leve,37.0
2,4,6,moderado,9.0
2,4,7,leve,37.0
2,4,7,moderado,4.0
3,21,2,moderado,11.0
3,21,3,moderado,9.0
3,21,4,moderado,11.0
3,22,5,moderado,4.0
3,22,6,leve,30.0
3,22,7,leve,9.5
3,22,7,moderado,3.0
3,24,6,leve,30.0
3,24,6,moderado,4.0
4,8,4,moderado,9.0
4,59,3,moderado,9.0
4,59,4,moderado,7.0
4,59,5,moderado,4.0
4,59,6,moderado,3.0
4,59,7,leve,24.0
4,59,7,moderado,3.0
5,19,6,leve,20.0
5,19,7,leve,20.0
5,19,7,moderado,2.0
5,20,1,moderado,7.0
5,20,3,moderado,1.0
5,20,4,leve,20.0
5,20,4,moderado,6.0
5,20,6,leve,20.0
5,20,6,moderado,3.0
5,20,7,leve,1.0
5,81,4,moderado,7.0
5,81,5,moderado,3.0
6,80,4,leve,35.0
6,80,4,moderado,12.0
6,80,5,leve,35.0
6,80,5,moderado,12.0
6,80,6,leve,35.0
6,80,6,moderado,12.0
6,80,7,leve,35.0
6,80,7,moderado,12.0
7,21,2,moderado,7.0
7,21,3,moderado,7.0
7,21,4,moderado,7.0
7,22,5,leve,21.0
7,22,5,moderado,3.0
7,22,6,leve,21.0
7,22,6,moderado,3.0
7,22,7,leve,21.0
7,22,7,moderado,2.0
8,15,6,moderado,6.0
8,48,5,leve,25.5
8,48,5,moderado,6.0
8,48,7,moderado,4.0
8,67,4,moderado,13.0
8,67,6,leve,42.0
8,78,3,moderado,15.0
8,78,4,leve,2.5
8,78,4,moderado,15.0
8,78,5,leve,42.0
8,78,6,leve,42.0
8,78,7,leve,14.0
9,19,5,leve,27.0
9,19,6,leve,27.0
9,19,6,moderado,4.0
9,19,7,moderado,3.0
9,20,3,moderado,9.0
9,20,5,moderado,1.6
9,20,6,leve,27.0
9,20,7,leve,9.0
9,81,3,moderado,9.0
9,81,4,moderado,9.0
9,81,5,leve,18.0
9,81,5,moderado,2.4
10,19,5,leve,21.0
10,19,7,leve,21.0
10,19,7,moderado,2.0
10,20,2,moderado,1.0
10,20,3,moderado,7.0
10,20,4,leve,2.5
10,20,4,moderado,7.0
10,20,5,leve,21.0
10,20,6,moderado,3.0
10,20,7,leve,18.5
10,81,4,moderado,7.0
10,81,5,moderado,3.0
11,21,2,moderado,9.0
11,21,3,moderado,10.0
11,21,4,moderado,10.0
11,22,5,leve,29.0
11,22,6,leve,29.0
11,22,7,moderado,4.0
11,24,5,moderado,4.0
11,24,6,leve,29.0
11,24,6,moderado,4.0
12,21,1,moderado,11.0
12,21,2,moderado,13.0
12,21,3,moderado,8.0
12,21,4,moderado,2.0
12,22,5,leve,1.0
12,22,5,moderado,5.0
12,22,6,leve,37.0
12,22,6,moderado,1.0
12,22,7,leve,37.0
12,22,7,moderado,4.0
12,24,6,leve,37.0
12,24,6,moderado,4.0
12,24,7,leve,37.0
12,28,4,moderado,5.0
13,4,3,leve,44.0
13,4,3,moderado,15.0
13,4,4,leve,20.0
13,4,4,moderado,15.0
13,4,5,leve,13.0
13,4,5,moderado,15.0
13,4,6,leve,33.0
13,4,6,moderado,11.0
13,4,7,leve,44.0
13,4,7,moderado,5.0
14,24,6,leve,77.0
14,24,7,leve,65.0
14,28,3,moderado,27.0
14,28,4,moderado,24.0
14,48,5,leve,77.0
14,48,5,moderado,11.0
14,48,6,leve,77.0
14,48,6,moderado,11.0
14,79,4,moderado,27.0
14,79,7,moderado,9.0
15,21,1,moderado,12.0
15,21,2,moderado,13.0
15,21,3,moderado,8.0
15,21,4,moderado,7.0
15,22,5,leve,38.0
15,22,5,moderado,5.0
15,22,6,leve,38.0
15,22,6,moderado,5.0
15,22,7,leve,38.0
15,22,7,moderado,4.0
16,8,2,moderado,36.0
16,8,3,moderado,30.0
16,59,2,moderado,18.0
16,59,3,moderado,6.0
16,59,4,moderado,18.0
16,59,5,leve,50.0
16,59,5,moderado,15.0
16,59,6,leve,81.5
16,59,6,moderado,15.0
16,59,7,leve,107.0
16,59,7,moderado,12.0
17,21,1,moderado,9.0
17,21,2,moderado,11.0
17,21,3,moderado,1.0
17,21,4,moderado,11.0
17,22,6,leve,32.0
17,22,7,leve,32.0
17,24,5,leve,32.0
17,24,5,moderado,5.0
17,24,6,leve,32.0
17,24,6,moderado,4.0
17,24,7,moderado,4.0
18,24,5,moderado,0.6
18,24,6,leve,28.0
18,24,7,leve,28.0
18,28,4,moderado,10.0
18,76,2,moderado,8.0
18,76,3,moderado,10.0
18,76,5,moderado,3.4
18,76,6,moderado,4.0
18,76,7,leve,28.0
18,76,7,moderado,3.0
19,59,2,moderado,4.0
19,59,3,moderado,4.0
19,59,4,leve,9.5
19,59,4,moderado,3.0
19,59,5,moderado,2.0
19,59,6,moderado,1.0
19,59,7,leve,11.0
19,59,7,moderado,1.0
20,70,4,leve,8.0
20,70,4,moderado,3.0
20,70,5,leve,8.0
20,70,5,moderado,3.0
20,70,6,leve,8.0
20,70,6,moderado,3.0
22,70,4,leve,29.0
22,70,4,moderado,10.0
22,70,5,leve,29.0
22,70,5,moderado,4.0
22,70,6,leve,29.0
22,70,6,moderado,4.0
22,78,3,moderado,9.0
22,78,4,moderado,10.0
22,78,7,leve,29.0
22,78,7,moderado,4.0
23,59,2,moderado,6.0
23,59,3,moderado,6.0
23,59,4,moderado,6.0
23,59,5,moderado,3.0
23,59,6,moderado,3.0
23,59,7,leve,19.0
23,59,7,moderado,2.0
24,21,1,moderado,52.0
24,21,2,moderado,20.0
24,21,3,moderado,41.0
24,21,4,moderado,36.0
24,22,5,moderado,7.4
24,22,6,leve,38.0
24,22,6,moderado,21.0
24,24,5,moderado,13.6
24,24,6,leve,147.0
24,24,7,moderado,16.0
25,15,3,moderado,48.0
25,28,3,moderado,45.0
25,48,5,leve,256.0
25,48,7,leve,45.0
25,64,4,moderado,76.0
25,64,7,leve,256.0
25,64,7,moderado,28.0
25,67,4,moderado,90.0
25,67,6,moderado,36.0
25,67,7,leve,256.0
25,79,5,moderado,36.0
25,83,6,leve,210.0
26,15,3,moderado,3.0
26,15,4,moderado,13.0
26,15,5,moderado,0.6
26,15,6,moderado,0.6
26,15,7,leve,37.0
26,15,7,moderado,4.0
26,78,3,moderado,12.0
26,78,4,moderado,10.0
26,78,5,leve,37.0
26,78,5,moderado,4.4
26,78,6,leve,37.0
26,78,6,moderado,4.4
26,78,7,leve,37.0
27,8,4,moderado,6.0
27,59,3,moderado,6.0
27,59,4,leve,18.0
27,59,4,moderado,6.0
27,59,5,moderado,3.0
27,59,6,moderado,2.0
27,59,7,moderado,2.0
28,19,5,leve,42.0
28,19,5,moderado,20.0
28,19,6,leve,56.5
28,19,6,moderado,10.2
28,19,7,leve,133.0
28,19,7,moderado,16.0
28,20,1,moderado,31.0
28,20,2,moderado,35.0
28,20,3,moderado,29.0
28,20,4,moderado,3.0
28,20,5,leve,52.5
28,20,6,moderado,9.8
28,20,7,leve,59.0
28,81,3,moderado,23.0
28,81,4,moderado,21.0
28,81,5,leve,141.0
29,8,3,moderado,11.0
29,8,4,moderado,11.0
29,59,3,moderado,9.0
29,59,5,moderado,4.0
29,59,6,leve,30.0
29,59,6,moderado,4.0
29,59,7,leve,16.0
29,59,7,moderado,3.0
30,8,2,moderado,12.0
30,8,4,moderado,14.0
30,59,2,moderado,44.0
30,59,3,moderado,44.0
30,59,4,moderado,13.0
30,59,5,moderado,18.0
30,59,6,leve,126.0
30,59,6,moderado,18.0
30,59,7,moderado,14.0
31,8,3,moderado,7.0
31,8,4,moderado,8.0
31,59,4,moderado,8.0
31,59,5,moderado,3.0
31,59,6,moderado,3.0
31,59,7,leve,23.0
31,59,7,moderado,3.0
32,20,3,moderado,3.0
32,20,5,leve,10.0
32,20,5,moderado,1.0
32,20,6,moderado,1.0
32,20,7,moderado,1.0
32,81,3,moderado,4.0
32,81,4,moderado,4.0
33,15,4,moderado,27.0
33,15,6,leve,193.5
33,15,7,moderado,20.0
33,48,5,moderado,60.0
33,48,7,leve,361.0
33,64,5,leve,240.0
33,64,6,leve,240.0
33,67,1,moderado,87.0
33,67,2,moderado,123.0
33,67,3,moderado,149.0
