t,centros_activos,equipos_totales,pacientes_atendidos,espera_leve,espera_moderado,graves_hospital,graves_pma
1,3,24,288,2688,654,403,0
2,6,40,480,4839,932,321,0
3,11,69,858,6401,694,244,0
4,15,97,1254,7506,81,196,0
5,18,116,2804,6180,56,165,0
6,16,130,3244,4401,39,161,0
7,15,140,3704,1863,35,124,0
