t,centros_activos,equipos_totales,pacientes_atendidos,espera_leve,espera_moderado,graves_hospital,graves_pma
1,3,19,228,2688,714,403,0
2,7,32,384,4839,1088,321,0
3,9,55,660,6451,998,244,0
4,10,78,963,7697,535,196,0
5,19,93,1601,7804,281,165,0
6,18,104,2051,7305,176,161,0
7,18,112,1989,6518,136,124,0
