escenario,factor,fo,gap_pct,atend_total,espera_leve,espera_mod,graves_hosp,centros_max,equipos_max
demanda_f0.80,0.8,53659,0.0075,9168,28032,2540,1310,19,112
demanda_f0.90,0.9,67611,0.01,8995,34918,3243,1481,18,112
demanda_f1.00,1.0,82857,0.0006,7876,43302,3928,1614,19,112
demanda_f1.10,1.1,98896,0.0111,7860,49777,4883,1747,18,112
demanda_f1.20,1.2,116078,0.0059,7458,56442,5931,1918,19,112
demanda_f1.40,1.4,152705,0.0246,7497,68269,8404,2249,18,112
